"STA";"SEL";"ID_F1";"TZF_F1";"NUM_TFZ_F1";"TOTALWEIGHT_F1";"VMAX_F1";"BREAKCLASS_F1";"BrH_F1";"LZB_F1";"T10WithI_F1";"ID_F2";"TZF_F2";"NUM_TFZ_F2";"TOTALWEIGHT_F2";"VMAX_F2";"BREAKCLASS_F2";"BrH_F2";"LZB_F2";"T10WithI_F2";"ID_F3";"TZF_F3";"NUM_TFZ_F3";"TOTALWEIGHT_F3";"VMAX_F3";"BREAKCLASS_F3";"BrH_F3";"LZB_F3";"T10WithI_F3"
"119A";"5202#2113";5202;"182-1";1;1700;100;"P";60;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";47;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"11B";"5202#2117";5202;"182-1";1;1700;100;"P";70;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";55;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"125A";"5202#13680";5202;"182-1";1;1700;100;"P";60;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";66;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"125B";"3757#5870";3757;"152-3";1;1600;100;"P";60;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";55;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
"125C";"5202#2113";5202;"182-1";1;1700;100;"P";54;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";38;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"127A";"3757#5870";3757;"152-3";1;1600;100;"P";60;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";54;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
"127C";"3757#5870";3757;"152-3";1;1600;100;"P";66;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";54;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
"127D";"5202#13680";5202;"182-1";1;1700;100;"P";65;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";54;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"127E";"3757#5870";3757;"152-3";1;1600;100;"P";60;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";54;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
"129A";"3757#5870";3757;"152-3";1;1600;100;"P";60;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";54;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
"131A";"5202#678";5202;"182-1";1;1700;100;"P";54;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";54;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"131B";"3757#6356";3757;"152-3";1;1600;100;"P";61;"FALSE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";56;"FALSE";554,019534373292;"";"";"";"";"";"";"";"";""
